"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 05:27:10 EDT 2024","Sun May 19 05:27:10 EDT 2024","2","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step5_check_TMA_location",""
"passed","Sun May 19 05:26:27 EDT 2024","Sun May 19 05:27:05 EDT 2024","37359","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step3_open_TMA",""
"passed","Sun May 19 05:27:10 EDT 2024","Sun May 19 05:27:12 EDT 2024","1955","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step6_schedule_campaign",""
"passed","Sun May 19 05:27:05 EDT 2024","Sun May 19 05:27:10 EDT 2024","5003","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step4_check_TMA_status",""
"passed","Sun May 19 05:38:47 EDT 2024","Sun May 19 05:50:42 EDT 2024","715847","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step8_generate_report_to_end",""
"passed","Sun May 19 05:26:12 EDT 2024","Sun May 19 05:26:27 EDT 2024","14934","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step1_command",""
"passed","Sun May 19 05:50:43 EDT 2024","Sun May 19 05:50:43 EDT 2024","0","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step9_update_report_to_database",""
"passed","Sun May 19 05:27:12 EDT 2024","Sun May 19 05:38:47 EDT 2024","694827","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step7_run_campaign_to_end",""
"passed","Sun May 19 05:26:27 EDT 2024","Sun May 19 05:26:27 EDT 2024","210","Project","test_Test_5-18-test_2024-05-19_05-25-40","","","","test_step2_close_TMA",""
